10010 10100
1011110100 1101010011
000010101001000 111100100100011
11101000010101110100 11010101110001001101
1001001110101000001111100 1000111011101100100101110
011101111000000010101000000100 000110110010011000001110000101
01101000101111101100010000001100011 11001110110010110000111000010100110
0011111001101011100000011011110100000111 0011101010100111010011011010000011101110
011111110000001000010111001001101000001010111 011000100000000110101101000101111011111001101
10100100011111111000000101100110110110000010111011 01001011110010101101011110100101101110110000101101
0111111100010100011010011011011010011010111111010010110 1010010101100010001001110011001101111011110001111100000
110110110100010010111011011010101110101100100101011111010100 010011000001011101010000011000010011110000000000100010110001
11001000010001011010100011100111101101110100111100101010110000110 11000011001011010000110111011000010110100110001100111011101100000
1000011100010100001100000101100100100101100000001110000010100110110000 1100100100111010010100001001001001100101110011100101111111010000001000
010011011001110011011010011010111010011101001010110011011001100111010000011 100110100010110110010011001100000010111011001010001001110010110011011011000
10000001110111110010010011001010000101010101110010011010010000011000001000001010 10110000110110001101010011100100010100110001111000011000001100010110001010010011
0111010111011010000010101001000110010110011100000011011101101111110010001000011001110 0100100110100111010110101011011000000001111000111010000110001001101000000100010101110
101011010011011011110010110001011100011001101100111100101001111001101000111010100100001001 000011100011000100000111100001000000010011010001010001111011001111110110001110001011110110
10010111100000101001111100001110000001000100100001001100101000110000101111011110000111110011100 00000010000001010011011001110000110010100000001011001000011111100010101001100000111011111000100
1110100010100001011010000101111101100101000111010100001000001111011000001101110011000111110111011000 1101110011010011011011100111000100101000011010100111000011110111001011111110011001101111010011001001
110011010001100101110111100011001100110111111111001110100010111000001001100110001111011110100110111000110 001110001010000101101001110110100100111101110100101110111000111000100101001111011001110000110101101011011
10101110001000001001011010111111000001100001001110110011110001111001010111010100101011010110111111011110000100 11101001110110100000100001011010110110010101010111011100011101110100011111100111100101110110010100001110111111
0101010001001101010000001100010000101110000011010010101110010001000010001011001001111110011101001001000100101001000 1011011101010101011111011111010010110011010111101010101101110110111010010001110001110000000000010010010000011100001
000110011111010110011011111011011100111010111000011100111010110010101100011001101011011110100110100000101111101010000101 101000000000101101000001111101000111010111011011110100010111101101100111101000010110101110010110001110011110011000000111
11010011101100101110101000000011001110110000001100001011111000011111011110010110001011010010101001110100111100000001010011110 00101001001101111011101101110010100000101011001001010001001011011010010000100100001100001111000111000011011101101100010001101
0110010011001011111000101110000110011101001010110011111000001101111101101000100000001010001100010100111001101111000111100001100101 1100001001010011111000010000110011101010000000000010100101101001000111110100111100001011011001000111010000110000000101101000101010
010010100101111111011010110001001001101101101010000011110001101100011000000101101001101001011111101010011000011111010001011000000001111 011010000110011001101001000110100000000001110110111101111001011100010000000110010000101110011000011000111111100100010000010000010111100
11110100100011011010111001111011010011000111101001000010000111000101100001000001001010111001110101000010100010100100010111001110011100011011 00010100001101110111001011110001011111100001000110110110010101011001001110110101001111110100001110000110010100011001100111001110000111110001
0110111111110001101101110101010011111100010000101101010110011111001011111110101110101100111001111011011011011000111010101010000011000011000011111 0011110110110001010010000011000111001000001101011100000110001101011101010101110101100011000011010111010101011011011000110001011000101001011000001
010001001111010010111001101000010111110001100010110110000001010110000101111010111111111110110110001010011111001100011011011110011011100110001101101111 001110111100111001001100000111111101110111111101110010101001110101101101000011011110010110000111111111010000010000011110110010101010010111010000110111
10011011001011000000000001000011011101101111001011010000010011010111000001011001011010100111101111000010000010101100001100100010111111010101100000011010101 01111000110000011100101100010010110011000010111101111111011001000111100001100010000100101101001000100101011010100011100001110001100110001000001100110011000
1100111110001001001100010001011101001110110101001100101100011101100000001010111011101001100100100110000100111010011110110100100001111010110010110101000011110101 1010111011000010111011011111000101110111010101110011100001001011100101100110001000010111100010111111010100111110110010110010011001111001011001000111100100011001
